time	b-value	Mean square deviation	Magnitude deficit	Elapsed days	Mean magnitude	Rate of square root of energy released	Mean time between characteristic events	Coefficient of variation from mean time	mag
1985-12-29	0.8833819277649144	0.0073799967563672065	0.04508238585869506	538.0	4.944999999999993	1190602477.6409395	18.30459077380953	0.9017547655312828	0.0
1986-01-05	0.8833819277649144	0.0073799967563672065	0.04508238585869506	538.0	4.944999999999993	1190602477.6409395	18.30459077380953	0.9017547655312828	4.6
1986-01-12	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	0.0
1986-01-19	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	0.0
1986-01-26	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	0.0
1986-02-02	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	0.0
1986-02-09	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	0.0
1986-02-16	0.8839274644738899	0.007413149508836306	0.045560853775626235	555.0	4.9459999999999935	1154773342.3782058	18.30459077380953	0.9017547655312828	6.2
1986-02-23	0.8597566181695899	0.006940319044820619	-0.010470707824558723	594.0	4.947999999999994	1117511472.8543208	18.694824608262106	0.9024157661264076	0.0
1986-03-02	0.8597566181695899	0.006940319044820619	-0.010470707824558723	594.0	4.947999999999994	1117511472.8543208	18.694824608262106	0.9024157661264076	4.7
1986-03-09	0.8603286865737958	0.006988008546790704	-0.009975691131141495	592.0	4.948999999999994	1121999693.9133396	18.694824608262106	0.9024157661264076	4.6
1986-03-16	0.8608681951294826	0.007025689579273487	-0.009455330554263064	592.0	4.949999999999994	1122599477.7800264	18.694824608262106	0.9024157661264076	0.0
1986-03-23	0.8608681951294826	0.007025689579273487	-0.009455330554263064	592.0	4.949999999999994	1122599477.7800264	18.694824608262106	0.9024157661264076	0.0
1986-03-30	0.8608681951294826	0.007025689579273487	-0.009455330554263064	592.0	4.949999999999994	1122599477.7800264	18.694824608262106	0.9024157661264076	5.3
1986-04-06	0.8606695953174356	0.007184677838509661	-0.003603060988981	606.0	4.952999999999994	1101668311.9102154	22.785281784188037	0.7914109577090777	0.0
1986-04-13	0.8606695953174356	0.007184677838509661	-0.003603060988981	606.0	4.952999999999994	1101668311.9102154	22.785281784188037	0.7914109577090777	4.5
1986-04-20	0.8595673550932544	0.007097294862412761	-0.004654168959228322	613.0	4.950999999999994	1087820425.852009	22.785281784188037	0.7914109577090777	0.0
1986-04-27	0.8595673550932544	0.007097294862412761	-0.004654168959228322	613.0	4.950999999999994	1087820425.852009	22.785281784188037	0.7914109577090777	0.0
1986-05-04	0.8595673550932544	0.007097294862412761	-0.004654168959228322	613.0	4.950999999999994	1087820425.852009	22.785281784188037	0.7914109577090777	4.8
1986-05-11	0.8570589764612115	0.007351219706752253	-0.004487541583912957	630.0	4.946999999999994	1053470833.7502346	22.248925925925928	0.7606075685877303	4.8
1986-05-18	0.8587199786977816	0.00752716211639468	-0.002998246241571856	627.0	4.949999999999994	1060550644.0722908	22.248925925925928	0.7606075685877303	5.2
1986-05-25	0.8634321815624435	0.0075273236541820426	-0.0013196102584798195	616.0	4.957999999999994	1087596854.9694157	23.344079861111112	0.7994694805971218	0.0
1986-06-01	0.8634321815624435	0.0075273236541820426	-0.0013196102584798195	616.0	4.957999999999994	1087596854.9694157	23.344079861111112	0.7994694805971218	4.7
1986-06-08	0.8808188719486885	0.008421666802690892	0.05603975696068897	622.0	4.942999999999994	1024339306.7485553	23.344079861111112	0.7994694805971218	0.0
1986-06-15	0.8808188719486885	0.008421666802690892	0.05603975696068897	622.0	4.942999999999994	1024339306.7485553	23.344079861111112	0.7994694805971218	4.5
1986-06-22	0.8785783938058299	0.00813559891470432	0.05440576494762262	639.0	4.938999999999994	994153871.4306834	23.344079861111112	0.7994694805971218	4.5
